   ;Conso 1;Conso 2;Conso 3;Conso 4;Conso 5;Conso 6;Conso 7;Conso 8;Conso 9;Conso 10;Conso 11;Conso 12;Conso 13;Conso 14;Conso 15;Conso 16;Conso 17;Conso 18;Conso 19;Conso 20;Conso 21;Conso 22;Conso 23;Conso 24;Conso 25;Conso 26;Conso 27;Conso 28;Conso 29;Conso 30;Conso 31;Conso 32;Conso 33;Conso 34;Conso 35;Conso 36;Conso 37;Conso 38;Conso 39;Conso 40;Conso 41;Conso 42;Conso 43;Conso 44;Conso 45;Conso 46;Conso 47;Conso 48;Conso 49;Conso 50;Conso 51;Conso 52;Conso 53;Conso 54;Conso 55;Conso 56;Conso 57;Conso 58;Conso 59;Conso 60;Conso 61;Conso 62;Conso 63;Conso 64;Conso 65;Conso 66;Conso 67;Conso 68;Conso 69;Conso 70;Conso 71;Conso 72;Conso 73;Conso 74;Conso 75;Conso 76;Conso 77;Conso 78;Conso 79;Conso 80;Conso 81;Conso 82;Conso 83;Conso 84;Conso 85;Conso 86;Conso 87;Conso 88;Conso 89;Conso 90;Conso 91;Conso 92;Conso 93;Conso 94;Conso 95;Conso 96;Conso 97;Conso 98;Conso 99;Conso 100;Conso 101;Conso 102;Conso 103;Conso 104;Conso 105;Conso 106;Conso 107;Conso 108;Conso 109;Conso 110;Conso 111;Conso 112;Conso 113;Conso 114;Conso 115;Conso 116;Conso 117;Conso 118;Conso 119;Conso 120;Conso 121;Conso 122;Conso 123;Conso 124;Conso 125;Conso 126;Conso 127;Conso 128;Conso 129;Conso 130;Conso 131;Conso 132;Conso 133;Conso 134;Conso 135;Conso 136;Conso 137;Conso 138;Conso 139;Conso 140;Conso 141;Conso 142;Conso 143;Conso 144;Conso 145;Conso 146;Conso 147;Conso 148;Conso 149;Conso 150;Conso 151;Conso 152;Conso 153;Conso 154;Conso 155;Conso 156;Conso 157;Conso 158;
Angel;5;4;5;2;3;10;1;2;6;3;6;1;1;2;1;4;5;2;2;1;1;3;7;4;9;2;2;5;2;9;4;4;3;2;5;2;3;3;1;8;1;1;6;7;1;2;1;4;3;1;1;1;3;8;2;3;7;2;8;5;5;2;9;1;1;1;2;3;3;5;9;2;2;1;5;3;9;1;4;10;8;9;2;4;1;1;2;5;1;1;4;3;7;2;1;1;3;1;7;3;4;4;7;5;2;8;10;2;8;5;3;9;8;1;5;6;7;3;3;3;6;8;5;2;9;1;5;2;8;1;10;5;2;1;1;6;1;3;9;1;5;3;1;4;2;4;2;3;1;2;4;10;6;7;2;1;1;5;
Aromatics Elixir;5;4;7;1;1;2;1;1;1;8;7;1;4;5;1;5;1;1;2;1;4;1;5;1;2;3;4;1;5;6;1;1;1;1;1;1;6;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;3;1;3;6;1;4;9;2;4;3;1;1;3;1;6;1;3;1;1;1;5;3;3;1;1;1;7;2;5;1;1;1;2;1;2;2;6;4;4;5;9;2;1;1;1;1;1;1;1;1;5;7;2;2;8;9;1;1;1;2;4;6;2;6;3;6;7;2;2;1;1;2;4;1;1;1;4;2;1;1;2;1;4;1;1;2;1;1;1;1;2;5;3;1;1;2;1;5;3;10;1;1;2;
Chanel n5;4;2;3;1;2;1;3;1;2;9;4;1;4;2;1;3;3;2;3;7;4;1;1;2;1;1;3;1;3;3;3;1;1;1;1;1;2;1;1;1;2;1;1;1;1;3;3;2;1;1;3;2;1;1;1;2;5;4;7;1;2;5;4;3;3;2;1;5;5;9;1;1;1;1;2;5;1;4;1;1;5;1;1;2;3;3;1;1;10;3;5;2;6;3;9;3;7;7;2;1;3;2;1;3;3;3;4;2;2;1;8;2;2;3;2;3;4;5;7;3;5;3;1;2;1;1;1;5;8;2;1;6;1;1;1;1;1;2;1;1;1;3;6;1;5;2;1;2;1;2;3;1;1;2;3;2;3;1;
Cinema;9;3;5;6;9;7;5;8;2;7;7;5;7;4;9;6;9;8;7;10;2;10;7;6;9;4;5;9;7;5;8;8;7;9;6;3;5;6;3;7;1;9;1;5;3;7;4;9;9;7;3;7;8;8;5;7;7;4;6;6;7;3;9;1;7;7;4;7;3;3;7;5;8;4;6;3;4;9;5;2;4;7;7;9;8;9;9;7;6;1;6;5;9;8;5;10;6;4;5;4;5;5;6;8;7;5;7;4;7;10;1;8;6;4;9;10;7;9;5;7;6;1;3;4;10;10;8;7;4;2;9;5;8;5;7;5;7;4;8;9;3;4;8;4;6;8;2;8;2;7;8;3;4;8;9;5;8;4;
Coco Madmoiselle ;8;5;4;6;9;3;3;8;7;3;8;4;7;3;3;7;7;4;5;7;6;6;3;3;5;8;7;9;7;7;8;4;7;10;7;5;7;6;4;5;10;8;6;9;9;2;3;4;5;5;8;4;7;8;4;6;5;6;5;6;7;3;3;3;3;7;3;7;4;1;4;8;7;8;5;4;9;6;3;5;1;6;5;6;9;5;6;7;3;2;9;8;5;3;5;4;7;9;6;2;4;5;10;8;7;4;4;5;8;4;6;9;6;1;10;6;8;2;9;7;2;1;3;4;9;8;8;10;7;7;4;5;7;9;7;7;7;3;6;5;3;6;6;4;5;7;4;9;7;8;7;5;8;7;4;4;6;5;
Jadore EP;7;6;2;10;9;9;3;7;5;3;7;5;4;3;8;6;10;6;6;10;7;6;9;5;10;3;7;9;5;5;6;9;6;10;9;7;8;7;4;3;9;7;6;6;9;5;3;10;9;7;7;5;6;8;3;7;5;8;6;7;8;4;5;2;6;6;6;6;8;2;2;9;9;9;6;8;8;8;7;8;10;6;6;7;10;6;2;9;8;6;7;4;8;7;6;4;5;10;6;5;7;6;4;10;2;3;7;6;6;7;9;7;3;3;4;5;5;8;7;1;2;7;6;7;5;10;5;8;8;8;1;5;9;9;1;9;8;4;5;3;6;6;3;6;8;9;2;7;10;6;3;6;7;7;3;8;9;6;
Jadore ET;8;7;2;8;9;9;3;7;8;4;6;5;5;5;3;5;5;5;5;9;5;5;5;5;9;8;6;10;6;4;6;3;7;9;8;7;9;7;5;4;5;8;8;3;7;9;6;9;6;8;6;6;6;9;3;7;8;9;6;8;8;2;8;2;5;8;5;6;9;2;3;6;9;6;7;7;1;8;6;9;7;4;5;6;9;6;5;9;8;7;8;8;5;4;5;2;3;9;8;1;7;6;3;7;4;6;6;7;6;10;7;5;2;2;9;6;4;7;8;3;2;2;4;10;7;10;4;9;8;9;3;6;8;4;1;8;8;5;8;4;4;5;7;4;9;9;8;7;8;7;5;6;5;6;7;7;10;6;
Linstant;4;4;5;5;6;3;5;6;2;7;3;1;6;7;5;6;9;9;3;5;4;6;8;3;10;9;4;10;3;8;3;6;7;3;7;5;7;6;2;3;1;9;1;5;2;3;5;5;3;2;10;2;7;5;9;6;6;5;7;7;7;2;4;2;3;6;6;8;3;2;4;7;4;4;7;6;9;3;6;6;8;8;10;7;5;6;6;3;7;2;8;3;3;7;5;6;7;9;2;1;3;7;3;9;6;4;9;7;5;10;2;8;3;3;7;9;5;5;4;3;2;8;5;2;4;5;5;7;5;3;8;6;4;3;2;6;4;7;5;8;5;7;2;4;2;8;6;8;6;6;7;4;6;9;2;7;10;9;
Lolita Lempicka;6;4;10;5;9;7;7;3;7;4;6;6;3;6;10;8;8;9;5;10;2;8;4;7;9;7;6;8;4;9;6;8;3;9;6;3;8;4;5;7;2;9;7;4;3;3;2;8;9;5;2;3;5;8;8;7;9;4;8;8;7;3;9;1;4;7;3;4;5;1;9;6;10;2;8;5;4;10;3;9;7;5;9;9;7;8;9;9;3;1;8;8;8;8;9;8;2;4;7;8;3;3;6;5;10;8;9;4;4;4;10;10;9;3;8;6;7;7;10;7;3;3;4;5;8;1;7;7;2;1;10;4;1;4;2;4;2;6;9;9;4;2;1;3;1;7;1;9;2;8;4;9;7;5;2;5;10;5;
Pleasures;9;7;8;6;8;7;9;7;4;4;1;6;8;4;6;7;1;5;5;6;5;7;6;2;10;5;7;10;5;6;5;1;6;8;8;1;4;7;2;5;7;1;9;2;9;6;4;4;4;1;8;4;5;4;3;5;5;1;6;5;7;4;3;2;4;8;6;5;8;3;3;4;6;10;4;7;2;9;6;2;2;5;7;8;6;4;10;8;6;8;8;4;6;7;6;1;2;7;4;4;7;4;5;8;6;7;5;3;5;4;7;5;2;3;9;1;4;8;2;9;6;9;4;6;7;10;8;6;6;4;9;7;5;2;5;6;2;5;4;2;4;4;8;1;6;9;7;7;6;7;5;1;6;6;1;6;10;7;
