   ;acidulé;agréable;agrume;alcool;ambre;ambré;amour;animale;après;aseptique;assez;attirant;banane;bleu;bois;boisé;bon;bonbon;capiteux;caramel;cassis;chimique;citron;citronnelle;cologne;de;délicat;délicate;dentiste;désagréable;discret;douceur;douche;doux;dur;eau;écoeurant;encens;entêtant;envoutant;epicé;épicé;été;éthanol;exotiques;faible;faricheur;féminin;femme;feuille;fleur;fleurfloral;floral;florale;forêt;fort;forte;fraîcheur;frais;fruit;fruité;fruits;fuité;fuits;gel;herbe;hopital;inclassable;indisposant;insupportable;intense;intensité;iodé;irritant;jeune;lavande;léger;lempicka;loilta;lolita;lourd;masculin;médical;melon;ménager;menthe;muguet;mûre;muscade;naphtaline;naturel;neutre;obsédant;orange;pas;peu;piquant;pissenlit;pivoine;plante;poivré;prairie;prenant;printannier;produit;prononcé;propreté;puissant;pureté;rasage;rassurant;rose;rouge;rouges;sapin;savon;savonforte;savonneux;scuré;shampoing;sous;subtil;sucré;très;trèsfort;trop;tropique;vanille;vieux;violette;ylang
Angel;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;2;0;0;0;5;0;0;0
Aromatic Elixir;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;12;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0
Chanel5;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0
Cinéma;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;3;1;0;0;0;0;2;0;1;1;0;1;1;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;4;0;0;0
Coco mademoiselle;0;1;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;2;0;2;0;0;2;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;3;0;0;0;0;1;0;0;0
Jadore.ep;0;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;1;3;1;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0;2;0;0;0;0;1;0;0;1
Jadore.et;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;4;0;2;0;0;1;0;1;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0
Linstant;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;2;1;0;1;0;2;0;0;0
Lolita Lempika;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;5;0;0;0;1;2;0;0;0
Pleasures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;4;0;3;0;1;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;4;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;2;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0
Pure Poison;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Shalimar;0;1;1;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;4;0;1;0;0;0;0;1;1;1;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;2;0;0
