parfum	coordx1	coordy1	classe1	coordx2	coordy2	classe2	coordx3	coordy3	classe3	coordx6	coordy6	classe6	coordx7	coordy7	classe7	coordx8	coordy8	classe8	coordx9	coordy9	classe9	coordx10	coordy10	classe10	coordx11	coordy11	classe11	coordx12	coordy12	classe12	coordx13	coordy13	classe13	coordx14	coordy14	classe14	coordx15	coordy15	classe15	coordx16	coordy16	classe16	coordx17	coordy17	classe17	coordx18	coordy18	classe18	coordx19	coordy19	classe19	coordx20	coordy20	classe20	coordx21	coordy21	classe21	coordx22	coordy22	classe22	coordx23	coordy23	classe23	coordx24	coordy24	classe24	coordx25	coordy25	classe25	coordx26	coordy26	classe26	coordx27	coordy27	classe27	coordx28	coordy28	classe28	coordx29	coordy29	classe29	coordx30	coordy30	classe30	coordx31	coordy31	classe31	coordx32	coordy32	classe32	coordx33	coordy33	classe33	coordx34	coordy34	classe34	coordx35	coordy35	classe35	coordx36	coordy36	classe36	coordx37	coordy37	classe37	coordx38	coordy38	classe38	coordx39	coordy39	classe39	coordx40	coordy40	classe40	coordx41	coordy41	classe41	coordx42	coordy42	classe42	coordx43	coordy43	classe43	coordx44	coordy44	classe44	coordx45	coordy45	classe45	coordx46	coordy46	classe46	coordx47	coordy47	classe47	coordx48	coordy48	classe48	coordx49	coordy49	classe49	coordx50	coordy50	classe50	coordx51	coordy51	classe51	coordx52	coordy52	classe52	coordx53	coordy53	classe53	coordx54	coordy54	classe54	coordx55	coordy55	classe55	coordx56	coordy56	classe56	coordx57	coordy57	classe57	coordx58	coordy58	classe58	coordx59	coordy59	classe59	coordx60	coordy60	classe60	coordx61	coordy61	classe61	coordx62	coordy62	classe62
Angel	43,2	34,7	D	56	22,2	"attaque;le;nez;poivré"	23,8	22,6	"discret;chimique"	7,1	11,1	"jeune;vif"	4,4	27,4	"fort;caractère;écoeurant"	8,4	20,7	"femme;mûre"	23	29,5	sucré	32,7	7,6	fruit	56	3	"chaud;épicé;vanillé;entêtant"	13,7	32,5	"sucré;trop;fort"	37,5	32	A	44,7	12,1	"trop;présent"	11,7	28,1	A	55	4,7	"pain;épice"	8,4	7,1	"vanillé;épicé;chaud"	49,4	36	fortA	34,5	30,5	C	9,9	16	A	54,7	3,5	poivré	51,2	38	"boisé;amer;apre"	26,8	34,2	désagréable	48,8	34,5	"trop;fort;trop;sucré;pas;assez;frais"	5,5	18,5	"étouffé;fleur;noix;coco"	12	24	agressif	48,2	32,7	"sucré;fruité"	9,2	23	H	12,5	18,5	"poivre;fort;piquant;acre;ancien"	26,5	21	A	49,1	27,5	H	56,3	2,5	"apre;fort"	9,6	35,2	A	39,3	11,3	"musqués;entetant"	53	35	"vanillé;sucré"	54,2	9	"vanillé;doux"	26,4	7,2	chaleur	4,3	33,2	"enveloppant;nuage;volupté;velouté;doux;rassurant"	55,7	36	E	26	22,7	"sucré;canelle;épicé"	36,5	19,6	D	54,4	18,7	"sirop;gateau;fruit"	20,5	18,3	sucré	11,8	22,2	"musc;poivré"	45,7	29,8	"apprécié;encens"	27,1	23,2	poivré	34,6	2,7	E	50	26,8	vanille	4	4,7	vanille	3,8	12,5	sucré	53,4	23,1	capiteux	11,5	34,7	"pr;ado;attachant"	7,4	11,4	vanille	48,5	34,8	"fort;épicé;oriental"	14,9	10,5	fruité	6,5	31,1	fruite	11,6	26,5	"fort;agressif"	14,8	4,7	"entêtant;ds;tps"	42	19,5	"i;moyenne"	51,8	28,4	A	6,5	29,9	A	46,5	25,2	"toilettes;désagréable"
Aromatic_elixir	52	33,1	D	15,5	3,7	ammoniac	54,5	4,7	"très;fort"	39,3	22,3	"vieux;banal"	20,8	34	"savoureux;féminin;raffiné"	3	36,3	B	5,7	25,9	épicé	49,4	11,7	floral	58	20,7	"chaud;épicé;vanillé;entêtant"	3,5	22,3	vieux	52,7	31,7	alcool	6,5	33,5	"subtil;mystérieux"	20,4	27,2	ammoniac	49,3	33,1	"très;fort;parfum;femme;âgée"	58,3	39,3	"savon;trop;fort"	52,3	5,3	fortB	25,5	17,2	D	48,2	21,1	B	48,4	3,8	poivré	57	35	"boisé;amer;apre"	2,2	37,1	fort	14,3	29,7	"senteurs;chaudes"	55,6	20,5	prenant	49,5	18,3	"peaux;intenses"	10,3	19,4	"fort;épicé"	25,5	14	"mabré;musc"	11	6,1	"poivre;fort;piquant;acre;ancien"	8,8	26	B	53,6	15,1	"épicé;i;forte"	44,7	3,8	"apre;fort"	12,2	2,6	"épicé;piquant"	35,8	5,2	"musqués;entetant"	7	33,8	"ancien;entetant"	6,2	32,5	"muguet;violette;fort;génant;trop;agressif"	49,9	9,8	"poivré;hiver;marron;pourpre"	55,8	5,7	"repoussant;trop;fort"	54,7	30,1	E	54,4	3,5	"très;fort;eau;cologne;réveille"	41,1	32,9	épicé	8,2	23,7	fort	10	34,7	"pdt;bébé;doux"	17,9	33,8	"musc;poivré"	9	12	"ecorce;eucalyptus;vieux;grenier;frais"	36,8	29,8	"très;fort"	11,6	3,7	désagréable	27,3	17,2	sucré	53,3	2,5	"savon;ancien"	44	4,2	oriental	53,3	20	capiteux	47,6	32,2	désagréable	54,9	33,7	dissolvant	54,8	35,6	"fort;épicé;oriental"	8,8	4,8	acide	57,6	4,1	"plantes;vertes;lierre"	8,2	22,4	"fort;agressif"	3,5	2,5	ammoniac	55,1	22,8	"i;forte;désagréable"	44,8	5,7	fleur	50,8	37,7	B	49	28	"toilettes;désagréable"
Chanel_N5	33	34,6	C	2	20	"salle;de;bain;bas;de;gamme"	6,3	9,2	"savon;mains"	55,9	35,2	E	24	38	"savoureux;féminin;raffiné"	23,3	34,5	savon	50,7	9,8	"fleur;muguet;frais"	5,7	31	"desodorisant;WC;trop;fort"	2,9	19	frais	10,7	20	vieux	43,5	15	savon	35,8	33,6	désodorisant	31	33,6	C	40,8	26,5	"très;fort;parfum;femme;âgée"	50,8	31	E	19,1	24,9	"senteur;classique"	9,5	21,8	F	42	17,3	C	53,1	18,2	poivré	33,5	5,3	"animal;épicé;boisé"	3,9	34	fort	19,7	15,1	"tonique;acidulé"	15,3	17	savon	7	16	agressif	19,4	11,8	"musc;fort"	47,3	30,9	"n5;chanel"	2,9	6	"poivre;fort;piquant;acre;ancien"	8,2	22,8	B	37,3	18,7	"épicé;i;forte"	47	20	"fort;frais"	22,4	2,5	"épicé;piquant"	43,1	35,5	B	4,7	3,3	"périmé;astringent"	10	27,8	"muguet;violette;fort;génant;trop;agressif"	48,1	10,9	"poivré;hiver;marron;pourpre"	44,8	8	"agressif;piquant"	13,9	35,2	"vieux;démodé"	54,9	37,2	"parfum;personne;agée"	42,54	27,2	épicé	2	37,1	savon	16,8	34,3	"pdt;bébé;doux"	27,3	30,5	"musc;poivré"	32,1	36,5	acide	41,6	12,5	masculin	8,5	3,5	désagréable	34,5	4,5	sucré	49,1	28,7	"savon;ancien"	41,8	22	"creme;hydratante;bébé"	46	21,6	enveloppant	54,1	34,9	désagréable	38,5	32,8	dissolvant	13,6	7,4	"doux;savon"	4,6	4,6	acide	43,2	30,2	savon	39,1	12,1	"gel;douche;bébé"	18,2	28,7	"entêtant;ds;tps"	56,79	18,2	"i;forte;désagréable"	40,1	16,7	fleur	51,3	12	C	27,5	8,7	"savon;léger;agréable"
Cinema	18,8	31,9	B	30,5	9,2	"doux;discret;raffiné"	38,8	29,4	"doux;touche;caractéristique"	11,8	24,9	"neutre;discret;élégant"	28,3	16	C	33,5	8,6	"acide;citron;agrume;femme;active"	54	20,4	"fleur;muguet;frais"	51,1	31,8	"eau;cologne;eau;toilette"	44,5	5,3	"chaud;épicé;vanillé;entêtant"	35,7	9,5	"fruit;sucré;douceur"	31,1	17,5	vanille	8	30,5	"subtil;mystérieux"	37,5	25,1	D	6,7	25,5	sucré	11,9	17,7	"fruité;floral;aérien"	12,5	21,1	"senteur;classique"	48,5	25,5	A	35	21,1	D	3,1	5,2	litchi	20,3	12,1	"malté;agréable;léger;un;peu;corsé"	32	9,5	sucré	23,3	2	"frais;léger"	46,3	10	prenant	26,5	22,5	agréable	15,6	29,3	"fort;épicé"	25,8	26,2	fruit	3,2	18,7	"poivre;fort;piquant;acre;ancien"	15,8	26,4	sucré	14,7	13,2	"odeur;épicerie"	10,5	24	doux	38,3	22,5	fleur	7,1	11,4	printanier	35,7	24	"vanillé;sucré"	45,3	16,2	"vanillé;doux"	9,7	24,1	sucré	14,2	34,1	"enveloppant;nuage;volupté;velouté;doux;rassurant"	21,1	25,2	"fleur;léger;fruit"	15,4	15	"chocolat;orange"	6,7	15,7	légéreté	42,1	12,9	"sirop;gateau;fruit"	26,9	10,7	sucré	30,7	22,6	"musc;poivré"	31,2	9,1	"petite;vieille"	6,8	11,8	fleurA	33,8	18,3	"fruité;corsé;agréable"	51,3	15,4	vanille	7,2	13,8	vanille	20,9	23,7	sucré	22,8	20	fort	10,5	17,4	harmonie	12,3	26,9	vanille	10,2	5,9	"doux;savon"	10,3	12,1	fruité	20,5	26,9	fruite	37,8	6,6	"doux;fruité"	48,6	13,8	"sucré;légèrment;lourd;très;agréable"	9,2	10,5	"i;faible;agréable"	13,6	11,3	"toilette;léger"	8,1	15,4	D	16,6	18,4	agréable
Coco	19,8	31,8	B	29,2	11,3	"doux;discret;raffiné"	45,8	29,6	"doux;touche;caractéristique"	16,5	7,3	"jeune;vif"	42	3,7	D	12,7	7,5	synthétique	32,6	4,9	bois	8,1	9,7	"faible;odeur"	50	11,5	"chaud;épicé;vanillé;entêtant"	21,8	7,6	"frais;alcool;chevrefeuille"	12,7	14,8	"parfum;homme"	21,7	22	"estival;personne;voulant;attirer"	39,2	30	D	30,9	23,6	D	7,9	34,8	"frais;aérien"	10,9	31,2	"senteur;classique"	49	22,5	A	13	19,2	A	27,2	19,5	C	36,2	11	"animal;épicé;boisé"	28,2	8,8	sucré	20,7	7,3	"frais;léger"	30	21	"fruit;pêche"	25	14	agréable	41,3	20,8	"frais;fleur"	11,2	9	floral	53,5	27,9	"fruit;frais;léger;sucré"	24,5	24,7	A	21,6	31,6	leger	40,2	20,7	"fort;frais"	42,1	31,5	fleur	32,6	22,2	frais	34,1	18,2	"vanillé;sucré"	25,3	21,7	ambré	38,9	16	"non;sucré"	14,4	24,8	"enveloppant;nuage;volupté;velouté;doux;rassurant"	55,4	7,1	D	8,3	34,3	"vanille;réglisse"	11,7	15,6	légéreté	29,5	11	doux	57	5,4	D	41,6	10,4	"fleur;frais"	44,8	3,3	fleur	40,4	9,8	masculin	23,3	30,8	"fruité;corsé;agréable"	9,3	16,6	fleur	21,3	21	"fleur;rose"	14	23,7	sucré	30,2	19,5	fort	10,5	5,8	harmonie	10,2	20,8	vanille	34	18,2	acidulé	31,6	19,3	léger	22	20,2	fruite	32,3	6,1	"doux;fruité"	44	21	"sucré;légèrment;lourd;très;agréable"	25,2	19,1	"i;moyenne"	16,2	16,5	"toilette;léger"	31	21,5	E	10,8	15,1	agréable
J_adore_EP	5,5	18,8	A	18,6	21,1	"acide;attaque;nez;doux"	9,2	29,2	"très;discret"	19,3	27,8	"neutre;discret;élégant"	31,6	12,7	C	52,1	28,2	"fleur;muguet;féminin;jeune"	39	28,5	"fleur;muguet;frais"	51,3	6,8	floral	23,6	10,9	frais	9,5	24,5	vieux	38	15	savon	52,2	32,7	"trop;présent"	34,5	25,7	D	5,5	13,7	"très;fruité"	32,9	20,1	floral	6,4	33,4	"senteur;classique"	45,2	14,5	B	28,1	24,3	E	9,8	6,8	litchi	6,6	5	"doux;apaisant;blanc;laiteux;crémeux;lait;hydratant"	56,4	13,1	"doux;crème;peau"	21,8	3,7	"frais;léger"	40,8	13,9	prenant	51	10	"peaux;intenses"	42	33,8	"sucré;fruité"	14,3	15,5	floral	40,6	21,6	C	7	26	B	28,2	27	leger	24	14	"fleur;végétal"	23,6	22,2	A	3,4	16,9	printanier	38,2	9,2	fruit	29,5	10,8	ambré	25,8	27,3	"fruit;fleur;léger;sucré"	24,1	7,7	A	26,2	25,6	"fleur;léger;fruit"	8,1	27,2	"brise;légère;léger;parfum;ambiance"	9,3	22,6	légéreté	22,6	27,2	fleur	3,1	17,4	"pdt;bébé;doux"	39	24,2	"fleur;frais"	7,7	7	"ecorce;eucalyptus;vieux;grenier;frais"	8,1	16,3	fleurB	30,2	18,7	"fruité;corsé;agréable"	5,1	30,7	fleur	22,6	20,9	"fleur;rose"	42,3	33,5	"savon;gel;douche"	9,2	24,8	frais	24,9	18,7	"femme;prenant;soin;d;elle;sans;trop"	44,1	5	fleur	51,6	15,3	fleuri	9,2	16,9	fruité	10,5	27,2	fruite	34,4	6,4	"doux;fruité"	28,1	20,9	"légèrment;acide;piquant;addez;agréable"	7,5	32	"i;faible;agréable"	37,8	27,9	fruité	23	10,8	F	13,2	17,3	agréable
J_adore_ET	3,3	24,7	A	29,5	22,5	"neutre;savon;classique"	35,4	29,3	"doux;touche;caractéristique"	32,3	14,6	"vieux;banal"	33,7	10,9	C	52,1	30	"fleur;muguet;féminin;jeune"	27,9	6	bois	48,3	5,6	floral	19	25,2	frais	29,4	9,8	"fruit;sucré;douceur"	39	8,5	savon	44	33,4	désodorisant	38,2	29,4	D	9,5	13,7	"très;fruité"	34,4	19,1	floral	5,4	35,1	"senteur;classique"	5	20	F	23,4	23	E	31,5	31	C	11,3	6	"doux;apaisant;blanc;laiteux;crémeux;lait;hydratant"	56	5	"doux;crème;peau"	23,2	8,8	"frais;léger"	47,2	14	prenant	6,3	28,5	agressif	32,8	16,2	"frais;fleur"	6	30,7	poudré	53,5	30,6	"fruit;frais;léger;sucré"	25	26,6	A	8,5	26,7	"fruit;doux"	23,8	22,6	"fleur;végétal"	17,5	26,3	A	5	17,9	printanier	25	5,7	fruit	18,6	21,7	"muguet;lavande;genant;agressif"	22,5	26,2	"fruit;fleur;léger;sucré"	18,8	6,7	A	35,4	16	"fleur;sucré"	6,9	24,2	"brise;légère;léger;parfum;ambiance"	14,2	15,3	légéreté	26,7	5,7	doux	49,6	20,9	rose	48,7	6,3	"fleur;frais"	32,3	18,5	"petite;vieille"	5,3	16,7	fleurB	27,1	18,6	"fruité;corsé;agréable"	6,1	20,4	fleur	27,4	8,4	fleur	39,8	30,2	"savon;gel;douche"	5,6	25,3	frais	4,7	12,5	harmonie	35,2	6,8	fleur	6,3	18,4	léger	6,1	16,1	fruité	16,5	31,3	fruite	33,6	11,9	"gel;douche;bébé"	24,1	8,4	"légèrment;acide;piquant;addez;agréable"	7,6	8,2	"i;faible;agréable"	46,6	5,7	fleur	48,7	10,9	C	28,6	31,3	"fort;assez;agréable"
L_instant	20,9	8,2	F	41,5	23,7	"fleur;léger;acide;doux;piquant"	11,7	29,2	"très;discret"	17	18,8	"neutre;discret;élégant"	26,8	10	C	5,3	7,2	synthétique	18,7	34,7	sucré	36,8	5	fruit	3,8	13,2	frais	36,2	6,6	"fruit;sucré;douceur"	8,1	13,4	"parfum;homme"	31,2	22	"estival;personne;voulant;attirer"	39,2	28,7	D	20	29,1	sucré	58	1,2	H	6,2	29,2	"senteur;classique"	45	22,8	A	5	18,2	A	48,2	33	fruité	25,3	18	"malté;agréable;léger;un;peu;corsé"	7	31	lourd	43,8	25,8	E	9,3	21,3	"étouffé;fleur;noix;coco"	31,5	28,5	agréable	9,7	30,6	"fort;épicé"	13,6	29,3	poudré	37,4	17,7	C	38,1	26,8	D	42,3	12,7	"épicé;i;forte"	51,5	2,2	"apre;fort"	36,2	31,4	fleur	26	27,3	frais	42,9	23	"vanillé;sucré"	45,4	22	"vanillé;doux"	32,9	36,8	"fleur;végétal"	33,7	33,1	"enfantin;attrayant;artificiel;écoeurant"	31,4	3,1	"fleur;sucré"	4,5	35,6	"vanille;réglisse"	25,7	16	verdure	22,8	10,8	doux	48,1	7,1	D	25,1	14,3	"sucré;acidulé"	49,4	8,3	fleur	45,8	24	F	6,3	33,9	A	47,4	14,9	vanille	37	4,5	fleur	58,4	19	"menthe;herbe"	2,7	26,9	frais	47,3	5,3	F	25	17,3	"noix;coco;cannelle"	37,2	30,2	léger	25,3	20	léger	50,8	5,7	"plantes;vertes;lierre"	31,6	11,8	"gel;douche;bébé"	30,1	4,5	"légèrment;acide;piquant;addez;agréable"	33	28,2	"i;moyenne"	37,8	15,6	fleur	8	10,1	D	29,9	20,3	"vanille;assez;agréable"
Lolita_Lempicka	47,7	19	E	40,3	7,4	"poivré;équilibré;racé;doux;piquant"	29,3	29,6	"doux;touche;caractéristique"	7,2	5,6	"jeune;vif"	20,8	20,9	sucré	4,7	20,6	"femme;mûre"	26	34,6	sucré	33,6	3,3	fruit	41,3	16,3	"chaud;épicé;vanillé;entêtant"	19,4	33,9	"sucré;trop;fort"	30,8	10,3	vanille	44,3	19,2	"trop;présent"	12,6	26,6	A	6,3	5,6	C	4,5	4,5	"vanillé;épicé;chaud"	19	4,3	fortC	34	27,5	C	39	19,4	C	5,6	20	"i;faible;très;fruité;doux;tenace"	25,5	30	"très;sucré;léger;écoeurant"	32	14,5	sucré	24	34,3	"senteurs;chaudes"	4,5	14,7	"étouffé;fleur;noix;coco"	35,5	12	agréable	26,6	35,6	"sucré;fruité"	11,5	26	poudré	53,5	34,4	"fruit;frais;léger;sucré"	24,9	21	A	41,6	26	"épicé;i;forte"	15,3	36	doux	5,9	28,3	A	55	22	sucré	45,5	34,1	"vanillé;sucré"	52,3	11,4	"vanillé;doux"	9	23,6	sucré	5,1	27,6	"enveloppant;nuage;volupté;velouté;doux;rassurant"	46,2	28	E	3,8	36,9	"vanille;réglisse"	8	6,2	douceur	46,1	10,2	"sirop;gateau;fruit"	27,2	19,1	sucré	31,8	6,5	"sucré;acidulé"	54,6	21,3	"apprécié;tonalité;encens"	12	29,4	G	26,4	31,5	"fruité;corsé;agréable"	31,2	17,3	sucré	19,5	13,6	sucré	8	18,5	sucré	39,8	21	enveloppant	16,7	33	"pr;ado;attachant"	5,2	24,7	vanille	40	18,7	acidulé	57	20,6	D	15,2	23	fruite	9,5	24,2	"fort;agressif"	52	13,6	"sucré;légèrment;lourd;très;agréable"	8,4	20,3	"i;faible;agréable"	11,7	28,3	"toilette;léger"	13,6	33,8	A	13,9	20,9	agréable
Pleasures	4,7	12,6	A	29,5	22,5	"neutre;savon;classique"	6	29,2	"très;discret"	49,3	18,6	"démaquillant;salle;bain"	26,8	16,6	C	52,1	32	"fleur;muguet;féminin;jeune"	54	26,8	"fleur;muguet;frais"	6,6	4,9	"faible;odeur"	21,2	19	frais	17,4	6,7	"frais;alcool;chevrefeuille"	43	9	savon	8,3	10	fade	34,2	24	D	18,1	20,1	sucré	35	20,4	floral	12,7	27,6	"senteur;classique"	8,5	16,5	F	18,8	25,3	F	54	33	fruité	8	8,8	"doux;apaisant;blanc;laiteux;crémeux;lait;hydratant"	54	5,4	"doux;crème;peau"	28,1	6,7	"frais;léger"	9,2	7	muguet	34	16	agréable	40,9	14,9	"frais;fleur"	30,6	28,2	fruit	31,3	9,8	C	24	26,6	A	3,8	24,7	"fruit;doux"	27,8	22,4	"fleur;végétal"	56	31,9	"automne;léger;doux"	3,6	32,8	printanier	32,6	4,8	fruit	30,6	34,7	boisé	29,6	31,2	"fleur;végétal"	40,6	9,2	"agressif;piquant"	37	9,7	"fleur;sucré"	36,1	3	"fleur;lys"	12,2	30,1	verdure	29,4	33,3	fleur	46,5	26,4	rose	53,3	7,2	"fleur;frais"	15,6	17,4	"ecorce;eucalyptus;vieux;grenier;frais"	13,3	26,2	G	44,8	7,3	musc	11,9	20,9	fleur	21	27,2	"fleur;rose"	49	25,8	"savon;gel;douche"	5	14,5	"frais;naturel"	39,4	14,5	imperceptible	37,7	9,6	fleur	50,1	18,7	fleuri	46	35,2	fleuri	54,2	9	"plantes;vertes;lierre"	36,1	11,8	"gel;douche;bébé"	2,7	27,2	ammoniac	10,8	8,2	"i;faible;agréable"	39,2	14,6	fleur	20,8	7,6	F	17,8	29,6	"fort;assez;agréable"
